Country,BusinessRanking,IncomeGroup
Aruba,,High income
Afghanistan,173,Low income
Angola,177,Lower middle income
Albania,82,Upper middle income
Andorra,,High income
United Arab Emirates,16,High income
Argentina,126,Upper middle income
Armenia,47,Upper middle income
American Samoa,,High income
Antigua and Barbuda,113,High income
Australia,14,High income
Austria,27,High income
Azerbaijan,28,Upper middle income
Burundi,166,Low income
Belgium,46,High income
Benin,149,Lower middle income
Burkina Faso,151,Low income
Bangladesh,168,Lower middle income
Bulgaria,61,Upper middle income
Bahrain,43,High income
Bahamas,119,High income
Bosnia and Herzegovina,90,Upper middle income
Belarus,49,Upper middle income
Belize,135,Upper middle income
Bermuda,,High income
Bolivia,150,Lower middle income
Brazil,124,Upper middle income
Barbados,128,High income
Brunei ,66,High income
Bhutan,89,Lower middle income
Botswana,87,Upper middle income
Central African Republic,184,Low income
Canada,23,High income
Switzerland,36,High income
Channel Islands,,High income
Chile,59,High income
China,32,Upper middle income
Ivory Coast,110,Lower middle income
Cameroon,167,Lower middle income
Democratic Republic of the Congo,183,Low income
Congo,180,Lower middle income
Colombia,67,Upper middle income
Comoros,160,Lower middle income
Cabo Verde,137,Lower middle income
Costa Rica,74,Upper middle income
Cuba,,Upper middle income
Curacao,,High income
Cayman Islands,,High income
Cyprus,54,High income
Czechia,41,High income
Germany,22,High income
Djibouti,112,Lower middle income
Dominica,111,Upper middle income
Denmark,4,High income
Dominican Republic,115,Upper middle income
Algeria,157,Lower middle income
Ecuador,129,Upper middle income
Egypt,114,Lower middle income
Eritrea,189,Low income
Spain,31,High income
Estonia,18,High income
Ethiopia,159,Low income
Finland,20,High income
Fiji,102,Upper middle income
France,33,High income
Faroe Islands,,High income
Micronesia,158,Lower middle income
Gabon,169,Upper middle income
United Kingdom,8,High income
Georgia,7,Upper middle income
Ghana,118,Lower middle income
Gibraltar,,High income
Guinea,156,Lower middle income
Gambia,155,Low income
Guinea-Bissau,174,Low income
Equatorial Guinea,178,Upper middle income
Greece,79,High income
Grenada,146,Upper middle income
Greenland,,High income
Guatemala,96,Upper middle income
Guam,,High income
Guyana,134,High income
Hong Kong,3,High income
Honduras,133,Lower middle income
Croatia,51,High income
Haiti,179,Lower middle income
Hungary,52,High income
Indonesia,73,Upper middle income
Isle of Man,,High income
India,62,Lower middle income
Ireland,24,High income
Iran,127,Lower middle income
Iraq,172,Upper middle income
Iceland,26,High income
Israel,35,High income
Italy,58,High income
Jamaica,71,Upper middle income
Jordan,75,Lower middle income
